"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
79,49,79,49,73,27
70,46,71,45,62,18
76,53,77,52,51,25
72,55,72,55,65,12
76,55,74,57,62,16
66,47,64,49,42,28
76,45,75,46,79,16
77,39,75,41,63,16
85,58,84,59,66,23
65,48,65,48,60,18
78,44,75,47,67,21
85,53,86,52,65,18
90,38,81,47,84,15
83,45,77,51,71,18
74,59,76,57,57,18
77,47,75,49,67,19
88,55,86,57,60,18
85,55,83,57,78,27
86,42,83,45,72,19
83,41,83,41,76,16
69,50,71,48,84,18
80,38,79,39,90,22
70,58,66,62,55,23
95,50,91,54,62,18
69,56,72,53,78,26
77,61,78,60,61,28
75,57,74,58,82,15
91,46,92,45,81,16
72,52,72,52,85,12
72,45,68,49,93,20
68,53,67,54,75,31
85,54,86,53,66,13
94,63,94,63,65,21
76,41,75,42,79,16
72,48,66,54,69,21
81,63,78,66,58,20
95,44,94,45,59,16
77,52,75,54,73,17
82,53,79,56,64,17
79,45,75,49,56,24
82,60,81,61,80,23
86,44,80,50,66,27
61,39,61,39,81,22
89,49,88,50,79,19
73,64,70,67,61,16
76,40,76,40,72,17
84,52,84,52,68,24
100,46,100,46,88,24
78,46,72,52,64,18
97,51,94,54,76,20
67,42,66,43,55,20
78,62,77,63,94,20
77,57,76,58,68,18
73,59,73,59,59,24
77,38,76,39,68,22
82,50,81,51,70,24
69,59,69,59,69,26
99,52,93,58,70,26
75,57,74,58,67,21
91,50,88,53,77,18
79,41,77,43,53,17
72,39,71,40,63,10
91,58,88,61,62,22
88,48,86,50,57,28
76,59,78,57,74,13
74,43,70,47,73,22
77,53,79,51,71,14
90,43,90,43,65,20
97,61,96,62,77,21
82,58,80,60,62,10
92,55,91,56,73,17
71,45,72,44,67,12
68,60,69,59,73,21
73,48,72,49,61,15
84,50,79,55,76,17
76,52,74,54,60,17
62,44,57,49,72,18
83,43,77,49,62,20
91,42,87,46,77,23
96,50,95,51,73,18
77,70,78,69,73,24
92,56,89,59,78,17
86,62,86,62,89,23
79,56,78,57,70,25
75,42,71,46,71,14
84,50,84,50,68,23
71,65,69,67,69,28
93,49,90,52,76,21
78,42,74,46,71,17
82,40,77,45,65,22
81,50,79,52,74,23
83,45,83,45,82,19
72,45,66,51,75,29
86,51,82,55,58,20
91,44,85,50,77,17
82,53,81,54,75,12
88,41,85,44,73,8
82,45,79,48,79,18
92,60,88,64,86,23
95,49,93,51,81,19
80,50,80,50,66,20
68,63,68,63,70,16
76,56,74,58,70,16
74,55,77,52,71,16
84,50,83,51,75,26
85,46,81,50,67,19
86,51,81,56,76,26
68,43,68,43,68,16
87,48,84,51,71,20
82,47,80,49,75,21
68,48,66,50,66,25
